agent,ranker,env-id,slate size,num items,reward-type,clicks,clicks_std,diversity,diversity_std,catalog coverage,catalog_coverage_std,runtime,runtime_std
greedyoracle,,sardine/SlateTopK-Bored-v0,10,1682,,84.38,1.92,0.58,0.00,0.01,0.00,90.87,1.11
greedyoracle,,sardine/SlateTopK-Bored-v0,20,100,,140.48,2.00,0.74,0.00,0.36,0.00,197.32,0.31
greedyoracle,,sardine/SlateTopK-Bored-v0,20,500,,162.93,1.80,0.67,0.00,0.08,0.00,196.07,1.21
greedyoracle,,sardine/SlateTopK-Bored-v0,20,1000,,157.62,2.77,0.63,0.00,0.04,0.00,231.42,1.24
greedyoracle,,sardine/SlateTopK-Bored-v0,20,1682,,85.95,2.89,0.63,0.00,0.02,0.00,278.77,2.06
mosac_agent-0,,sardine/SlateTopK-Bored-v0,3,100,clicks,64.19999694824219,,67.46971130371094,,0.27,,,
mosac_agent-1,,sardine/SlateTopK-Bored-v0,3,100,clicks,59.0,,68.9748764038086,,0.258,,,
mosac_agent-2,,sardine/SlateTopK-Bored-v0,3,100,clicks,52.599998474121094,,71.0054931640625,,0.20400000000000001,,,
mosac_agent-3,,sardine/SlateTopK-Bored-v0,3,100,clicks,59.79999923706055,,68.59623718261719,,0.202,,,
mosac_agent-4,,sardine/SlateTopK-Bored-v0,3,100,clicks,84.19999694824219,,51.542930603027344,,0.47400000000000003,,,
mosac_agent-5,,sardine/SlateTopK-Bored-v0,3,100,clicks,56.0,,70.47427368164062,,0.20400000000000001,,,
mosac_agent-6,,sardine/SlateTopK-Bored-v0,3,100,clicks,45.400001525878906,,77.73445892333984,,0.172,,,






